Accession,Species,Genus,Family,Length,Country
MG011350,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,30096,Saudi Arabia
MF806525,Rhinovirus C,Enterovirus,Picornaviridae,7081,USA
JN642147,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Lebanon
JN642148,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Lebanon
JN642166,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Lebanon
JN642132,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Lebanon
JN642149,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Lebanon
JN642160,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Lebanon
HQ657152,Rotavirus A,Rotavirus,Reoviridae,2359,South Africa
JF808127,Dengue virus,Flavivirus,Flaviviridae,10707,Brazil
MF554712,Human respirovirus 1,Respirovirus,Paramyxoviridae,15446,USA
KF530060,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30577,USA
KX879603,Zika virus,Flavivirus,Flaviviridae,10812,Ecuador
JQ689398,Human metapneumovirus,Metapneumovirus,Pneumoviridae,639,China
KU243129,TTV-like mini virus,Betatorquevirus,Anelloviridae,2824,China
MF351517,Hudisavirus sp.,,,2613,Peru
MF351519,Hudisavirus sp.,,,2853,Peru
KP670859,Human mastadenovirus B,Mastadenovirus,Adenoviridae,35239,China
KY881747,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
MN018331,Dengue virus,Flavivirus,Flaviviridae,10735,China
KU509273,Dengue virus,Flavivirus,Flaviviridae,10543,Thailand
MN018317,Dengue virus,Flavivirus,Flaviviridae,10735,China
HM750145,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,China
MF185754,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,14987,USA
JQ765575,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,27487,USA
JQ765568,Human coronavirus NL63,Alphacoronavirus,Coronaviridae,27487,USA
MF185751,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,14986,USA
KJ567652,Hepacivirus C,Hepacivirus,Flaviviridae,9434,Viet Nam
KJ567649,Hepacivirus C,Hepacivirus,Flaviviridae,9471,Viet Nam
KJ567650,Hepacivirus C,Hepacivirus,Flaviviridae,9469,Viet Nam
KU761576,Tick-borne encephalitis virus,Flavivirus,Flaviviridae,10385,Russia
FJ687435,Dengue virus,Flavivirus,Flaviviridae,10679,Thailand
KY476324,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Peru
LC064381,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Viet Nam
LC064373,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Viet Nam
LC064378,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Viet Nam
KF530071,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30578,USA
KF530072,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30577,USA
KF530063,Betacoronavirus 1,Betacoronavirus,Coronaviridae,30577,USA
JQ689397,Human metapneumovirus,Metapneumovirus,Pneumoviridae,645,China
MF783092,Human betaherpesvirus 5,Cytomegalovirus,Herpesviridae,235403,USA
KX765836,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Thailand
KX765837,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Thailand
KX765823,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Thailand
KX765818,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Thailand
KX765819,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Thailand
JQ689395,Human metapneumovirus,Metapneumovirus,Pneumoviridae,645,China
U71182,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8985,China
KC242788,Zaire ebolavirus,Ebolavirus,Filoviridae,18958,Democratic Republic of the Congo
KF444096,Human polyomavirus 8,Alphapolyomavirus,Polyomaviridae,5232,USA
KC242793,Zaire ebolavirus,Ebolavirus,Filoviridae,18958,Gabon
KC242794,Zaire ebolavirus,Ebolavirus,Filoviridae,18959,Gabon
JN400621,Norwalk virus,Norovirus,Caliciviridae,7509,Taiwan
JN400622,Norwalk virus,Norovirus,Caliciviridae,7509,Taiwan
JN400613,Norwalk virus,Norovirus,Caliciviridae,7509,Taiwan
JN400607,Norwalk virus,Norovirus,Caliciviridae,7509,Taiwan
KC242792,Zaire ebolavirus,Ebolavirus,Filoviridae,18959,Gabon
KF679992,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,India
KX078505,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,838,India
KC242796,Zaire ebolavirus,Ebolavirus,Filoviridae,18959,Democratic Republic of the Congo
DQ369982,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9079,South Africa
DQ369980,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9067,South Africa
KT366509,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,India
KJ686293,Enterovirus A,Enterovirus,Picornaviridae,7281,Viet Nam
KF179639,West Nile virus,Flavivirus,Flaviviridae,11000,Greece
KJ675507,Rhinovirus C,Enterovirus,Picornaviridae,7090,Malaysia
KU605540,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3220,South Africa
KF429766,Norwalk virus,Norovirus,Caliciviridae,7509,USA
KP090180,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Brazil
KU200919,Human immunodeficiency virus 1,Lentivirus,Retroviridae,2604,Zambia
KJ170447,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170455,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170533,Enterovirus C,Enterovirus,Picornaviridae,7387,Nigeria
KJ170546,Enterovirus C,Enterovirus,Picornaviridae,7387,Nigeria
KJ170651,Enterovirus C,Enterovirus,Picornaviridae,7379,Nigeria
KJ170436,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170437,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170532,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170517,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170496,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170601,Enterovirus C,Enterovirus,Picornaviridae,7379,Nigeria
KJ170489,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170576,Enterovirus C,Enterovirus,Picornaviridae,7379,Nigeria
KJ170577,Enterovirus C,Enterovirus,Picornaviridae,7379,Nigeria
KJ170475,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
KJ170559,Enterovirus C,Enterovirus,Picornaviridae,7387,Nigeria
KJ170469,Enterovirus C,Enterovirus,Picornaviridae,7388,Nigeria
DQ676877,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8654,Australia
KX228391,Chikungunya virus,Alphavirus,Togaviridae,11601,Brazil
KU343138,unidentified circular ssDNA virus,,,2951,France
KX255406,Enterovirus D,Enterovirus,Picornaviridae,7285,USA
KX255394,Enterovirus D,Enterovirus,Picornaviridae,7282,USA
KX255388,Enterovirus D,Enterovirus,Picornaviridae,7285,USA
KX255353,Enterovirus D,Enterovirus,Picornaviridae,7285,USA
KX261818,Enterovirus D,Enterovirus,Picornaviridae,7284,USA
KX255390,Enterovirus D,Enterovirus,Picornaviridae,7285,USA
KX255384,Enterovirus D,Enterovirus,Picornaviridae,7285,USA
KX255393,Enterovirus D,Enterovirus,Picornaviridae,7285,USA
KX255385,Enterovirus D,Enterovirus,Picornaviridae,7285,USA
KX255387,Enterovirus D,Enterovirus,Picornaviridae,7285,USA
KX255377,Enterovirus D,Enterovirus,Picornaviridae,7285,USA
KX255376,Enterovirus D,Enterovirus,Picornaviridae,7291,USA
KX261815,Enterovirus D,Enterovirus,Picornaviridae,7284,USA
KX255371,Enterovirus D,Enterovirus,Picornaviridae,7284,USA
KX255370,Enterovirus D,Enterovirus,Picornaviridae,7285,USA
KX255373,Enterovirus D,Enterovirus,Picornaviridae,7285,USA
KX261812,Enterovirus D,Enterovirus,Picornaviridae,7284,USA
JN688716,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Argentina
KM110802,Hepatitis delta virus,Deltavirus,,1668,Cameroon
JN588826,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,959,Cambodia
MK800121,Enterovirus B,Enterovirus,Picornaviridae,7212,USA
AF460972,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8916,Cameroon
DQ369994,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9052,South Africa
DQ369988,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9052,South Africa
JX406749,Rotavirus A,Rotavirus,Reoviridae,2591,USA
JX406754,Rotavirus A,Rotavirus,Reoviridae,1059,USA
JX406757,Rotavirus A,Rotavirus,Reoviridae,664,USA
DQ369997,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9010,South Africa
KM110796,Hepatitis delta virus,Deltavirus,,1675,Cameroon
KM110801,Hepatitis delta virus,Deltavirus,,1684,Cameroon
JN688699,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Argentina
JN688683,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Argentina
JN688691,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Argentina
JN688713,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3185,Argentina
DQ366666,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9084,Malaysia
KJ189368,Dengue virus,Flavivirus,Flaviviridae,10480,Mexico
KJ189333,Dengue virus,Flavivirus,Flaviviridae,10445,Mexico
KJ189330,Dengue virus,Flavivirus,Flaviviridae,10448,Mexico
KJ189320,Dengue virus,Flavivirus,Flaviviridae,10445,Mexico
KJ189311,Dengue virus,Flavivirus,Flaviviridae,10715,Mexico
KJ189296,Dengue virus,Flavivirus,Flaviviridae,10697,Peru
KJ189301,Dengue virus,Flavivirus,Flaviviridae,10693,Peru
KJ189286,Dengue virus,Flavivirus,Flaviviridae,10697,Peru
HQ537759,Alphapapillomavirus 9,Alphapapillomavirus,Papillomaviridae,7836,
KF687308,Human respirovirus 1,Respirovirus,Paramyxoviridae,15424,USA
MF580875,Rotavirus A,Rotavirus,Reoviridae,3302,China
HQ537755,Alphapapillomavirus 9,Alphapapillomavirus,Papillomaviridae,7824,
HQ537756,Alphapapillomavirus 9,Alphapapillomavirus,Papillomaviridae,7836,
HQ537757,Alphapapillomavirus 9,Alphapapillomavirus,Papillomaviridae,7836,
HQ537764,Alphapapillomavirus 9,Alphapapillomavirus,Papillomaviridae,7825,
HQ537765,Alphapapillomavirus 9,Alphapapillomavirus,Papillomaviridae,7825,
KF495604,Enterovirus C,Enterovirus,Picornaviridae,7469,China
GU212854,Primate T-lymphotropic virus 2,Deltaretrovirus,Retroviridae,8953,Cameroon
GU117633,Gammapapillomavirus 10,Gammapapillomavirus,Papillomaviridae,7358,Germany
KJ943407,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2273,Chile
KJ943457,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1003,Chile
KF955402,Dengue virus,Flavivirus,Flaviviridae,10505,Cambodia
KF955446,Dengue virus,Flavivirus,Flaviviridae,10470,Viet Nam
KF955476,Dengue virus,Flavivirus,Flaviviridae,10462,Sri Lanka
KF471644,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Iran
KJ189288,Dengue virus,Flavivirus,Flaviviridae,10697,Peru
KJ189281,Dengue virus,Flavivirus,Flaviviridae,10692,Peru
KJ189272,Dengue virus,Flavivirus,Flaviviridae,10693,Peru
KJ189277,Dengue virus,Flavivirus,Flaviviridae,10693,Peru
KJ189267,Dengue virus,Flavivirus,Flaviviridae,10693,Peru
KJ189264,Dengue virus,Flavivirus,Flaviviridae,10693,Peru
EU786672,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8854,Spain
JQ955623,Dengue virus,Flavivirus,Flaviviridae,10670,India
JQ955624,Dengue virus,Flavivirus,Flaviviridae,10670,India
EU786671,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8972,Spain
KU507556,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1746,South Korea
KU507557,Huaiyangshan banyangvirus,Banyangvirus,Phenuiviridae,1746,South Korea
DQ366662,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9153,Malaysia
MG836425,Human rubulavirus 2,Rubulavirus,Paramyxoviridae,15654,Croatia
FJ157347,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,894,China
FJ157343,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,894,China
KX655524,Rotavirus A,Rotavirus,Reoviridae,1059,Uganda
FJ195091,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8988,Brazil
FJ195090,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9022,Brazil
FJ213783,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8935,Uruguay
FJ195087,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8888,Brazil
AF164485,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9738,Thailand
KP343832,Torque teno virus,,Anelloviridae,2765,Sweden
KJ189347,Dengue virus,Flavivirus,Flaviviridae,10444,Mexico
EF368372,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9011,China
GQ161831,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3200,Guinea
KC156123,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9716,South Africa
KC156130,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9698,South Africa
KC156129,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9752,South Africa
KU961972,Lassa mammarenavirus,Mammarenavirus,Arenaviridae,7282,Togo
KU517845,Dengue virus,Flavivirus,Flaviviridae,10723,Papua New Guinea
KU314715,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,1353,China
KU314708,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,1353,China
GQ161789,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3212,Guinea
MG458320,Rabies lyssavirus,Lyssavirus,Rhabdoviridae,11927,Nepal
HQ169542,Norwalk virus,Norovirus,Caliciviridae,7547,USA
KX433167,Enterovirus D,Enterovirus,Picornaviridae,7283,USA
LC456116,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3216,Cambodia
KF584162,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Argentina
FJ670528,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9007,Spain
FJ670529,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8997,Spain
FJ623475,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8712,Kenya
MH827531,Dengue virus,Flavivirus,Flaviviridae,10724,China
HQ332190,Dengue virus,Flavivirus,Flaviviridae,10722,Venezuela
KF745068,Middle East respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29901,France
FJ610146,Alphapapillomavirus 9,Alphapapillomavirus,Papillomaviridae,7906,Thailand
MH827543,Dengue virus,Flavivirus,Flaviviridae,10724,China
KJ870892,Rotavirus A,Rotavirus,Reoviridae,2359,Democratic Republic of the Congo
MH827545,Dengue virus,Flavivirus,Flaviviridae,10724,China
FJ670517,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9003,Spain
FJ670515,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9010,Spain
KF886354,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1701,Canada
MH827538,Dengue virus,Flavivirus,Flaviviridae,10724,China
FJ670523,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8774,Spain
MH827542,Dengue virus,Flavivirus,Flaviviridae,10724,China
MH827546,Dengue virus,Flavivirus,Flaviviridae,10724,China
FJ670531,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9001,Spain
KF886371,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1701,Canada
FJ670520,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9018,Spain
MH827536,Dengue virus,Flavivirus,Flaviviridae,10724,China
FJ670522,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9028,Spain
FJ185231,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8854,Viet Nam
KF886381,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1701,Canada
FJ185246,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8842,Viet Nam
FJ185245,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8854,Viet Nam
FJ185260,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8830,Viet Nam
HQ325778,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2274,Australia
KM374044,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1398,China
HQ325779,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2274,Australia
FJ185250,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8857,Viet Nam
FJ185256,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8860,Viet Nam
FJ185255,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8818,Viet Nam
FJ185253,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8845,Viet Nam
FJ185248,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8848,Viet Nam
KC476971,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,954,South Africa
MF984339,West Nile virus,Flavivirus,Flaviviridae,10831,Austria
MF984340,West Nile virus,Flavivirus,Flaviviridae,10831,Austria
MF984346,West Nile virus,Flavivirus,Flaviviridae,10829,Austria
MF984343,West Nile virus,Flavivirus,Flaviviridae,11013,Austria
AY162223,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9781,South Africa
KY385888,Enterovirus D,Enterovirus,Picornaviridae,7333,USA
AY158535,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8964,South Africa
AY158534,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8917,South Africa
KF371954,Rotavirus A,Rotavirus,Reoviridae,1558,China
FJ358521,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8858,Chile
KF886373,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1701,Canada
KX650191,Human polyomavirus 4,Betapolyomavirus,Polyomaviridae,5229,China
KX650184,Human polyomavirus 4,Betapolyomavirus,Polyomaviridae,5229,China
FJ185229,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8839,Viet Nam
FJ185242,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8842,Viet Nam
FJ185235,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8875,Viet Nam
FJ185237,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8842,Viet Nam
FJ185241,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8830,Viet Nam
FJ185236,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8860,Viet Nam
FJ185238,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8842,Viet Nam
KJ170540,Enterovirus C,Enterovirus,Picornaviridae,7387,Nigeria
KJ170543,Enterovirus C,Enterovirus,Picornaviridae,7387,Nigeria
KJ170549,Enterovirus C,Enterovirus,Picornaviridae,7387,Nigeria
JX669480,Dengue virus,Flavivirus,Flaviviridae,10723,Brazil
JQ692085,Dengue virus,Flavivirus,Flaviviridae,10669,India
FJ853621,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8952,Spain
KX632300,Rotavirus A,Rotavirus,Reoviridae,2591,Uganda
KX632302,Rotavirus A,Rotavirus,Reoviridae,1356,Uganda
KX632306,Rotavirus A,Rotavirus,Reoviridae,1074,Uganda
KX632307,Rotavirus A,Rotavirus,Reoviridae,750,Uganda
KX632308,Rotavirus A,Rotavirus,Reoviridae,664,Uganda
KX632324,Rotavirus A,Rotavirus,Reoviridae,1356,Uganda
DQ487190,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9291,USA
KF129411,Enterovirus C,Enterovirus,Picornaviridae,7455,China
KF906413,Human mastadenovirus B,Mastadenovirus,Adenoviridae,34780,South Korea
JQ409141,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2169,Finland
JQ409128,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1442,Finland
JQ409129,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,987,Finland
JQ409131,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2292,Finland
JQ173161,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2293,Finland
JQ173153,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,2293,Finland
KU679955,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Australia
JQ927384,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Kenya
KJ734767,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,836,Canada
DQ396397,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9050,South Africa
DQ396398,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9031,South Africa
KF873543,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Australia
KF873512,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Australia
DQ396396,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9083,South Africa
KF425293,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8931,Malaysia
KJ439219,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,982,USA
KT259319,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9356,Spain
KX632329,Rotavirus A,Rotavirus,Reoviridae,750,Uganda
KX827297,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3221,USA
KX827298,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3221,USA
KX827301,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,USA
EF514713,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8857,Denmark
EF514700,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8921,Denmark
EF175211,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9117,USA
MH124581,Chikungunya virus,Alphavirus,Togaviridae,11757,India
KU679941,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Australia
KJ734773,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,838,Canada
KU679954,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3215,Australia
EF637052,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8871,Brazil
EU000506,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8998,India
JN040781,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Iran
KT340069,Human mastadenovirus D,Mastadenovirus,Adenoviridae,34948,USA
KT340070,Human mastadenovirus D,Mastadenovirus,Adenoviridae,34949,USA
JN040753,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Iran
KT340056,Human mastadenovirus D,Mastadenovirus,Adenoviridae,34948,USA
KT340065,Human mastadenovirus D,Mastadenovirus,Adenoviridae,34948,USA
KT340060,Human mastadenovirus D,Mastadenovirus,Adenoviridae,34948,USA
KT340058,Human mastadenovirus D,Mastadenovirus,Adenoviridae,34948,USA
KU523872,Dengue virus,Flavivirus,Flaviviridae,10653,Indonesia
HQ650122,Rotavirus A,Rotavirus,Reoviridae,1064,USA
KU523871,Dengue virus,Flavivirus,Flaviviridae,10589,Philippines
MN513347,Human mastadenovirus E,Mastadenovirus,Adenoviridae,35945,Singapore
KT340061,Human mastadenovirus D,Mastadenovirus,Adenoviridae,34948,USA
KC292348,SFTS phlebovirus,Phlebovirus,Phenuiviridae,6368,China
KC292350,SFTS phlebovirus,Phlebovirus,Phenuiviridae,6368,China
KC292351,SFTS phlebovirus,Phlebovirus,Phenuiviridae,6368,China
KC292342,SFTS phlebovirus,Phlebovirus,Phenuiviridae,6368,China
KC292338,SFTS phlebovirus,Phlebovirus,Phenuiviridae,6368,China
KC292340,SFTS phlebovirus,Phlebovirus,Phenuiviridae,6368,China
KC292328,SFTS phlebovirus,Phlebovirus,Phenuiviridae,6368,China
KC292329,SFTS phlebovirus,Phlebovirus,Phenuiviridae,6368,China
KC292320,SFTS phlebovirus,Phlebovirus,Phenuiviridae,3378,China
KC292322,SFTS phlebovirus,Phlebovirus,Phenuiviridae,3378,China
KC292308,SFTS phlebovirus,Phlebovirus,Phenuiviridae,3378,China
KC292311,SFTS phlebovirus,Phlebovirus,Phenuiviridae,3378,China
AF408627,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8943,Argentina
AF423757,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8980,Spain
KF551094,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1701,Canada
KF551087,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1701,Canada
KF551067,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1701,Canada
KC292297,SFTS phlebovirus,Phlebovirus,Phenuiviridae,1744,China
KC292277,SFTS phlebovirus,Phlebovirus,Phenuiviridae,1744,China
MH171384,Rotavirus A,Rotavirus,Reoviridae,1356,Spain
JX678876,Enterovirus A,Enterovirus,Picornaviridae,7404,China
JX678877,Enterovirus A,Enterovirus,Picornaviridae,7404,China
JX678878,Enterovirus A,Enterovirus,Picornaviridae,7405,China
JX678882,Enterovirus A,Enterovirus,Picornaviridae,7405,China
AF423755,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8963,Spain
JX678886,Enterovirus A,Enterovirus,Picornaviridae,7404,China
MH171373,Rotavirus A,Rotavirus,Reoviridae,1356,Spain
MH171377,Rotavirus A,Rotavirus,Reoviridae,1278,Spain
AF450097,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8983,Spain
AY588971,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9098,Cuba
AY585264,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9019,South Africa
KX023797,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1433,USA
AY536236,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8937,Venezuela
AY536237,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8767,Argentina
AY536235,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8970,Chile
AY046058,Human immunodeficiency virus 1,Lentivirus,Retroviridae,8909,Greece
EU414135,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3182,Belarus
DQ351218,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9066,South Africa
KF849721,Hepatitis B virus,Orthohepadnavirus,Hepadnaviridae,3212,Angola
DQ351233,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9135,South Africa
DQ351227,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9003,South Africa
DQ351220,Human immunodeficiency virus 1,Lentivirus,Retroviridae,9012,South Africa
KF886374,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1701,Canada
KF886369,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1701,Canada
KF886357,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1701,Canada
KF886349,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,1701,Canada
KJ627351,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15102,Peru
MG711764,Hepatitis delta virus,Deltavirus,,1681,Cameroon
KJ627270,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15102,Peru
KJ627268,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15102,Peru
KJ627336,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15115,Peru
KJ627341,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,15172,Peru
